episode: 173 | reward: 1.0 | average reward: 3.4277456647398843 | loss: 0.13931694669806827
episode: 174 | reward: 7.0 | average reward: 3.413793103448276 | loss: 0.14730720164929212
episode: 175 | reward: 5.0 | average reward: 3.434285714285714 | loss: 0.13279905584661303
episode: 176 | reward: 2.0 | average reward: 3.4431818181818183 | loss: 0.10569272539457013
episode: 177 | reward: 3.0 | average reward: 3.4350282485875705 | loss: 0.13549371027631832
episode: 178 | reward: 7.0 | average reward: 3.432584269662921 | loss: 0.14534494357350228
episode: 179 | reward: 0.0 | average reward: 3.452513966480447 | loss: 0.12456481468663617
episode: 180 | reward: 0.0 | average reward: 3.433333333333333 | loss: 0.14849923117849184
episode: 181 | reward: 4.0 | average reward: 3.414364640883978 | loss: 0.11907149676636056
episode: 182 | reward: 0.0 | average reward: 3.4175824175824174 | loss: 0.12022008697664309
episode: 183 | reward: 1.0 | average reward: 3.398907103825137 | loss: 0.1288250802691801
episode: 184 | reward: 2.0 | average reward: 3.385869565217391 | loss: 0.12313276304777093
episode: 185 | reward: 4.0 | average reward: 3.3783783783783785 | loss: 0.1519869104983223
episode: 186 | reward: 7.0 | average reward: 3.381720430107527 | loss: 0.14989841385765396
episode: 187 | reward: 3.0 | average reward: 3.4010695187165774 | loss: 0.12152651509196163
episode: 188 | reward: 4.0 | average reward: 3.398936170212766 | loss: 0.11707650622457526
episode: 189 | reward: 2.0 | average reward: 3.4021164021164023 | loss: 0.14836518637328222
episode: 190 | reward: 1.0 | average reward: 3.3947368421052633 | loss: 0.1512756048603332
episode: 191 | reward: 7.0 | average reward: 3.3821989528795813 | loss: 0.15194525070343584
episode: 192 | reward: 7.0 | average reward: 3.4010416666666665 | loss: 0.11431628236755804
episode: 193 | reward: 4.0 | average reward: 3.4196891191709846 | loss: 0.11948868134926571
episode: 194 | reward: 4.0 | average reward: 3.422680412371134 | loss: 0.10723154757796076
episode: 195 | reward: 0.0 | average reward: 3.4256410256410255 | loss: 0.10913939621244674
episode: 196 | reward: 7.0 | average reward: 3.4081632653061225 | loss: 0.11927425742511841
episode: 197 | reward: 6.0 | average reward: 3.4263959390862944 | loss: 0.12548292337105607
episode: 198 | reward: 1.0 | average reward: 3.4393939393939394 | loss: 0.1232037447643837
episode: 199 | reward: 7.0 | average reward: 3.4271356783919598 | loss: 0.15201193375545852
episode: 200 | reward: 3.0 | average reward: 3.445 | loss: 0.10219392036183078
episode: 201 | reward: 0.0 | average reward: 3.442786069651741 | loss: 0.09531663660333571
episode: 202 | reward: 3.0 | average reward: 3.4257425742574257 | loss: 0.10019164820559247
episode: 203 | reward: 5.0 | average reward: 3.4236453201970445 | loss: 0.09873473651936161
episode: 204 | reward: 3.0 | average reward: 3.4313725490196076 | loss: 0.10084561647575047
episode: 205 | reward: 0.0 | average reward: 3.4292682926829268 | loss: 0.11971149363028499
episode: 206 | reward: 5.0 | average reward: 3.412621359223301 | loss: 0.0935545866625704
episode: 207 | reward: 2.0 | average reward: 3.420289855072464 | loss: 0.10355998567928516
episode: 208 | reward: 5.0 | average reward: 3.4134615384615383 | loss: 0.13384184617047967
episode: 209 | reward: 0.0 | average reward: 3.4210526315789473 | loss: 0.09988711256294122
episode: 210 | reward: 4.0 | average reward: 3.4047619047619047 | loss: 0.12914670591548927
episode: 211 | reward: 0.0 | average reward: 3.4075829383886256 | loss: 0.10450868187610651
episode: 212 | reward: 6.0 | average reward: 3.391509433962264 | loss: 0.09692815345960343
episode: 213 | reward: 6.0 | average reward: 3.403755868544601 | loss: 0.12976973549161283
episode: 214 | reward: 5.0 | average reward: 3.4158878504672896 | loss: 0.10775632409356913
episode: 215 | reward: 1.0 | average reward: 3.4232558139534883 | loss: 0.1227902773577691
episode: 216 | reward: 5.0 | average reward: 3.412037037037037 | loss: 0.0833826160338578
episode: 217 | reward: 3.0 | average reward: 3.4193548387096775 | loss: 0.09393858953924376
episode: 218 | reward: 2.0 | average reward: 3.4174311926605503 | loss: 0.08077750987117356
episode: 219 | reward: 3.0 | average reward: 3.410958904109589 | loss: 0.09872462924463243
episode: 220 | reward: 1.0 | average reward: 3.409090909090909 | loss: 0.08176028859493553
episode: 221 | reward: 3.0 | average reward: 3.3981900452488687 | loss: 0.09464568155192207
episode: 222 | reward: 5.0 | average reward: 3.3963963963963963 | loss: 0.09287399872938336
episode: 223 | reward: 7.0 | average reward: 3.403587443946188 | loss: 0.13091168186651914
episode: 224 | reward: 3.0 | average reward: 3.419642857142857 | loss: 0.09668589249564297
episode: 225 | reward: 4.0 | average reward: 3.417777777777778 | loss: 0.11131344219355252
episode: 226 | reward: 6.0 | average reward: 3.420353982300885 | loss: 0.11692421158917124
episode: 227 | reward: 0.0 | average reward: 3.4317180616740086 | loss: 0.09010537008296407
episode: 228 | reward: 2.0 | average reward: 3.4166666666666665 | loss: 0.08764759628744838
episode: 229 | reward: 6.0 | average reward: 3.410480349344978 | loss: 0.11407448109967226
episode: 230 | reward: 1.0 | average reward: 3.4217391304347826 | loss: 0.09508640710110688
episode: 231 | reward: 6.0 | average reward: 3.411255411255411 | loss: 0.09307627115872438
episode: 232 | reward: 7.0 | average reward: 3.4224137931034484 | loss: 0.13096523217984782
episode: 233 | reward: 1.0 | average reward: 3.4377682403433476 | loss: 0.08382486681184144
episode: 234 | reward: 3.0 | average reward: 3.427350427350427 | loss: 0.13407472165028234
episode: 235 | reward: 6.0 | average reward: 3.425531914893617 | loss: 0.12386846611496254
episode: 236 | reward: 0.0 | average reward: 3.4364406779661016 | loss: 0.11592960730998808
episode: 237 | reward: 3.0 | average reward: 3.4219409282700424 | loss: 0.10432196153767354
episode: 238 | reward: 6.0 | average reward: 3.4201680672268906 | loss: 0.09176818388877041
episode: 239 | reward: 3.0 | average reward: 3.430962343096234 | loss: 0.09528326270113711
episode: 240 | reward: 4.0 | average reward: 3.4291666666666667 | loss: 0.13248111719627131
episode: 241 | reward: 1.0 | average reward: 3.4315352697095434 | loss: 0.1284714672610323
episode: 242 | reward: 3.0 | average reward: 3.4214876033057853 | loss: 0.1333078693937202
episode: 243 | reward: 3.0 | average reward: 3.419753086419753 | loss: 0.11669253203646443
episode: 244 | reward: 5.0 | average reward: 3.418032786885246 | loss: 0.12160318640831613
episode: 245 | reward: 6.0 | average reward: 3.4244897959183676 | loss: 0.11243791048794508
episode: 246 | reward: 3.0 | average reward: 3.434959349593496 | loss: 0.11148612832297448
episode: 247 | reward: 0.0 | average reward: 3.4331983805668016 | loss: 0.1100424525017201
episode: 248 | reward: 5.0 | average reward: 3.4193548387096775 | loss: 0.09531314901508792
episode: 249 | reward: 1.0 | average reward: 3.42570281124498 | loss: 0.13435746813756652
episode: 250 | reward: 0.0 | average reward: 3.416 | loss: 0.12475311130731587
