episode: 229 | reward: 2.0 | average reward: 0.9432314410480349 | loss: 0.09003879236391434
episode: 230 | reward: 1.0 | average reward: 0.9478260869565217 | loss: 0.11076051210884374
episode: 231 | reward: 1.0 | average reward: 0.948051948051948 | loss: 0.11710792778663288
episode: 232 | reward: 0.0 | average reward: 0.9482758620689655 | loss: 0.11642530164953126
episode: 233 | reward: 0.0 | average reward: 0.944206008583691 | loss: 0.11828533474164249
episode: 234 | reward: 0.0 | average reward: 0.9401709401709402 | loss: 0.08467092293337776
episode: 235 | reward: 2.0 | average reward: 0.9361702127659575 | loss: 0.10424770802603484
episode: 236 | reward: 1.0 | average reward: 0.940677966101695 | loss: 0.1149976062440381
episode: 237 | reward: 0.0 | average reward: 0.9409282700421941 | loss: 0.10974759158509148
episode: 238 | reward: 1.0 | average reward: 0.9369747899159664 | loss: 0.08231280761977694
episode: 239 | reward: 2.0 | average reward: 0.9372384937238494 | loss: 0.11966163042403591
episode: 240 | reward: 2.0 | average reward: 0.9416666666666667 | loss: 0.1288348985607155
episode: 241 | reward: 2.0 | average reward: 0.946058091286307 | loss: 0.10126835506477402
episode: 242 | reward: 0.0 | average reward: 0.9504132231404959 | loss: 0.08439704154555557
episode: 243 | reward: 2.0 | average reward: 0.9465020576131687 | loss: 0.09475950873365277
episode: 244 | reward: 2.0 | average reward: 0.9508196721311475 | loss: 0.12053106577004138
episode: 245 | reward: 1.0 | average reward: 0.9551020408163265 | loss: 0.11632243563608141
episode: 246 | reward: 1.0 | average reward: 0.9552845528455285 | loss: 0.1281007512947277
episode: 247 | reward: 2.0 | average reward: 0.9554655870445344 | loss: 0.0825683442840398
episode: 248 | reward: 0.0 | average reward: 0.9596774193548387 | loss: 0.1280850168937276
episode: 249 | reward: 0.0 | average reward: 0.9558232931726908 | loss: 0.108077437241051
episode: 250 | reward: 1.0 | average reward: 0.952 | loss: 0.09522861822264216
episode: 251 | reward: 1.0 | average reward: 0.952191235059761 | loss: 0.11153987590803503
episode: 252 | reward: 2.0 | average reward: 0.9523809523809523 | loss: 0.09507053493133805
episode: 253 | reward: 0.0 | average reward: 0.9565217391304348 | loss: 0.1195461898562826
episode: 254 | reward: 1.0 | average reward: 0.952755905511811 | loss: 0.0997780083268197
episode: 255 | reward: 2.0 | average reward: 0.9529411764705882 | loss: 0.10827647395797316
episode: 256 | reward: 2.0 | average reward: 0.95703125 | loss: 0.08795123385034463
episode: 257 | reward: 1.0 | average reward: 0.9610894941634242 | loss: 0.114027327200548
episode: 258 | reward: 2.0 | average reward: 0.9612403100775194 | loss: 0.12473104613533792
episode: 259 | reward: 1.0 | average reward: 0.9652509652509652 | loss: 0.10156119787365994
episode: 260 | reward: 1.0 | average reward: 0.9653846153846154 | loss: 0.13065829001869164
episode: 261 | reward: 0.0 | average reward: 0.9655172413793104 | loss: 0.10304739042855171
episode: 262 | reward: 1.0 | average reward: 0.9618320610687023 | loss: 0.10945705383856134
episode: 263 | reward: 1.0 | average reward: 0.9619771863117871 | loss: 0.11776364500269225
episode: 264 | reward: 0.0 | average reward: 0.9621212121212122 | loss: 0.12097449959351222
episode: 265 | reward: 2.0 | average reward: 0.9584905660377359 | loss: 0.12143495863604087
episode: 266 | reward: 0.0 | average reward: 0.9624060150375939 | loss: 0.1260897228286676
episode: 267 | reward: 1.0 | average reward: 0.9588014981273408 | loss: 0.13418685023972976
episode: 268 | reward: 2.0 | average reward: 0.9589552238805971 | loss: 0.1309104969306405
episode: 269 | reward: 1.0 | average reward: 0.9628252788104089 | loss: 0.11305944410125147
episode: 270 | reward: 0.0 | average reward: 0.9629629629629629 | loss: 0.10630180068572594
episode: 271 | reward: 2.0 | average reward: 0.959409594095941 | loss: 0.12162304780364218
episode: 272 | reward: 2.0 | average reward: 0.9632352941176471 | loss: 0.12617462914772853
episode: 273 | reward: 0.0 | average reward: 0.967032967032967 | loss: 0.10929894831372844
episode: 274 | reward: 0.0 | average reward: 0.9635036496350365 | loss: 0.10078629527909276
episode: 275 | reward: 2.0 | average reward: 0.96 | loss: 0.10767670502760375
episode: 276 | reward: 0.0 | average reward: 0.9637681159420289 | loss: 0.11119993145553295
episode: 277 | reward: 0.0 | average reward: 0.9602888086642599 | loss: 0.11843624317368623
episode: 278 | reward: 0.0 | average reward: 0.9568345323741008 | loss: 0.08808871248945103
episode: 279 | reward: 0.0 | average reward: 0.953405017921147 | loss: 0.09016309045268722
episode: 280 | reward: 2.0 | average reward: 0.95 | loss: 0.11838656520800186
episode: 281 | reward: 0.0 | average reward: 0.9537366548042705 | loss: 0.10832595030532521
episode: 282 | reward: 0.0 | average reward: 0.950354609929078 | loss: 0.08001723630652628
episode: 283 | reward: 0.0 | average reward: 0.9469964664310954 | loss: 0.10468963159126532
episode: 284 | reward: 1.0 | average reward: 0.9436619718309859 | loss: 0.12314992024731854
episode: 285 | reward: 1.0 | average reward: 0.9438596491228071 | loss: 0.08059730030776176
episode: 286 | reward: 0.0 | average reward: 0.9440559440559441 | loss: 0.10979350643569044
episode: 287 | reward: 1.0 | average reward: 0.9407665505226481 | loss: 0.1093042800235463
episode: 288 | reward: 1.0 | average reward: 0.9409722222222222 | loss: 0.08268396573353934
episode: 289 | reward: 2.0 | average reward: 0.9411764705882353 | loss: 0.08986560095123741
episode: 290 | reward: 2.0 | average reward: 0.9448275862068966 | loss: 0.10411419906512721
episode: 291 | reward: 1.0 | average reward: 0.9484536082474226 | loss: 0.09575447922118516
episode: 292 | reward: 1.0 | average reward: 0.9486301369863014 | loss: 0.1271436833351346
episode: 293 | reward: 1.0 | average reward: 0.9488054607508533 | loss: 0.10681839244326083
episode: 294 | reward: 2.0 | average reward: 0.9489795918367347 | loss: 0.11287052712088569
episode: 295 | reward: 0.0 | average reward: 0.9525423728813559 | loss: 0.10892068480232178
episode: 296 | reward: 0.0 | average reward: 0.9493243243243243 | loss: 0.13185288274398604
episode: 297 | reward: 1.0 | average reward: 0.9461279461279462 | loss: 0.11328855896904336
episode: 298 | reward: 0.0 | average reward: 0.9463087248322147 | loss: 0.10282637747432838
episode: 299 | reward: 2.0 | average reward: 0.9431438127090301 | loss: 0.08471256454411212
episode: 300 | reward: 2.0 | average reward: 0.9466666666666667 | loss: 0.08497175145115082
episode: 301 | reward: 1.0 | average reward: 0.9501661129568106 | loss: 0.10700825271193296
episode: 302 | reward: 2.0 | average reward: 0.9503311258278145 | loss: 0.08964646562101505
episode: 303 | reward: 2.0 | average reward: 0.9537953795379538 | loss: 0.12599593378491897
episode: 304 | reward: 2.0 | average reward: 0.9572368421052632 | loss: 0.10249542398554246
episode: 305 | reward: 3.0 | average reward: 0.9606557377049181 | loss: 0.12055390703416259
episode: 306 | reward: 3.0 | average reward: 0.9673202614379085 | loss: 0.12258667550109983
